id,name,legal_name,idno,niche,niche_label,owner_or_manager,locality,sector,address,phone,email,instagram,facebook,telegram,whatsapp,maps_url,outreach_status,demo_site_url,website_status,verified_at,confidence,purchase_score,estimated_budget_mdl,recommended_approach,source_1,source_2,source_3,website_check_summary,notes
"chisinau-nails-prego-012","Prego","","","nails","Маникюрные студии","","Chișinău","Centru","Str. Maria Cebotari 8A, Chișinău","+37379291942","","https://www.instagram.com/prego.md/","","","","https://apnt.app/prego","новый","","verified_no_site","2026-07-15","high","8","6 000–14 000","Предложить сайт с прайсом, стерилизацией, портфолио маникюра/педикюра и онлайн-записью.","https://apnt.app/prego","https://www.instagram.com/prego.md/","","brand_exact_search: ""Prego"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Prego"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Prego"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/prego.md/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37379291942"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: prego.md prego.com prego.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-beauty-lashtrainer-iuliana-013","Lashtrainer Iuliana","","","lashes","Наращивание ресниц и лэшмейкеры","","Chișinău","Ciocana","Str. Mihail Sadoveanu 15/2, Chișinău","+37367383002","","https://www.instagram.com/lashtrainer.iuliana/","","","","https://apnt.app/lashtrainer_iuliana","новый","","verified_no_site","2026-07-15","high","7","5 000–12 000","Написать с сайтом мастера: ресницы, brows, обучение, фото работ и форма записи.","https://apnt.app/lashtrainer_iuliana","https://www.instagram.com/lashtrainer.iuliana/","","brand_exact_search: ""Lashtrainer Iuliana"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Lashtrainer Iuliana"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Lashtrainer Iuliana"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/lashtrainer.iuliana/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37367383002"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: lashtraineriuliana.md lashtraineriuliana.com lashtraineriuliana.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-nails-elle-nails-md-014","Elle Nails MD","","","nails","Маникюрные студии","","Chișinău","Rîșcani","Str. Bogdan Voievod 2C, Chișinău","+37360126627","","https://www.instagram.com/elle.nails.md/","","","","https://apnt.app/elle_nails_md","новый","","verified_no_site","2026-07-15","high","9","7 000–16 000","Показать многостраничный сайт: ногти, подология, ресницы, брови и запись по услугам.","https://apnt.app/elle_nails_md","https://www.instagram.com/elle.nails.md/","","brand_exact_search: ""Elle Nails MD"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Elle Nails MD"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Elle Nails MD"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/elle.nails.md/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37360126627"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: ellenailsmd.md ellenailsmd.com ellenailsmd.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-nails-vave-beauty-bar-015","VAVE Beauty Bar","","","nails","Маникюрные студии","","Chișinău","Centru","Str. Mihai Eminescu 72, cabinet 103B, Chișinău","+37378793381","","https://www.instagram.com/vave_beauty_bar/","https://www.facebook.com/profile.php?id=61553494130518","","","https://apnt.app/vave_beauty_bar","новый","","verified_no_site","2026-07-15","high","8","6 000–14 000","Предложить сайт студии с портфолио, предоплатой/правилами записи и картой кабинета.","https://apnt.app/vave_beauty_bar","https://www.instagram.com/vave_beauty_bar/","https://www.facebook.com/profile.php?id=61553494130518","brand_exact_search: ""VAVE Beauty Bar"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""VAVE Beauty Bar"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""VAVE Beauty Bar"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/vave_beauty_bar/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37378793381"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: vavebeautybar.md vavebeautybar.com vavebeautybar.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-beauty-angela-lashbrow-016","Angela LashBrow","","","lashes","Наращивание ресниц и лэшмейкеры","","Chișinău","Centru","Str. Bănulescu-Bodoni 45, Chișinău","+37369819434","","https://www.instagram.com/lashbrow.cartier/","","","","https://apnt.app/angy_gene","новый","","verified_no_site","2026-07-15","high","7","5 000–12 000","Написать с личным сайтом мастера: процедуры, до/после, сертификаты и быстрый контакт.","https://apnt.app/angy_gene","https://www.instagram.com/lashbrow.cartier/","","brand_exact_search: ""Angela LashBrow"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Angela LashBrow"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Angela LashBrow"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/lashbrow.cartier/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37369819434"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: angelalashbrow.md angelalashbrow.com angelalashbrow.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-nails-harmony-beauty-studio-017","Harmony Beauty Studio","","","nails","Маникюрные студии","","Chișinău","Centru","Str. Avram Iancu 32, Chișinău","+37379426994","","https://www.instagram.com/harmonybeautystudiomd/","","","","https://apnt.app/harmony_beauty_studio","новый","","verified_no_site","2026-07-15","high","8","6 000–14 000","Предложить сайт с услугами маникюра, педикюра, brows/gene и отдельными карточками мастеров.","https://apnt.app/harmony_beauty_studio","https://www.instagram.com/harmonybeautystudiomd/","","brand_exact_search: ""Harmony Beauty Studio"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Harmony Beauty Studio"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Harmony Beauty Studio"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/harmonybeautystudiomd/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37379426994"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: harmonybeautystudio.md harmonybeautystudio.com harmonybeautystudio.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-beauty-gudumacbrows-018","Gudumacbrows","","","beauty","Салоны красоты","","Chișinău","Ciocana","Mircea cel Bătrân 4/4, Chișinău","+37379279163","","https://www.instagram.com/sasha_gudumac/","https://www.facebook.com/profile.php?id=100069089540959","","","https://apnt.app/kb_beauty1","новый","","verified_no_site","2026-07-15","high","7","5 000–12 000","Предложить мини-сайт для brow-мастера с портфолио и записью на ламинирование.","https://apnt.app/kb_beauty1","https://www.instagram.com/sasha_gudumac/","https://www.facebook.com/profile.php?id=100069089540959","brand_exact_search: ""Gudumacbrows"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Gudumacbrows"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Gudumacbrows"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/sasha_gudumac/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37379279163"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: gudumacbrows.md gudumacbrows.com gudumacbrows.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-beauty-my-marafet-studio-019","MY MARAFET STUDIO","","","beauty","Салоны красоты","","Chișinău","Centru","Bd. Constantin Negruzzi 6, Chișinău","+37369559933","","https://www.instagram.com/my_marafet_studio/","","","","https://apnt.app/marafet_md","новый","","verified_no_site","2026-07-15","high","9","7 000–16 000","Показать сайт студии с отзывами, мастерами, услугами lash/brow и кнопкой брони.","https://apnt.app/marafet_md","https://www.instagram.com/my_marafet_studio/","","brand_exact_search: ""MY MARAFET STUDIO"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""MY MARAFET STUDIO"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""MY MARAFET STUDIO"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/my_marafet_studio/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37369559933"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: mymarafetstudio.md mymarafetstudio.com mymarafetstudio.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-nails-cojocari-inga-020","Cojocari Inga","","","nails","Маникюрные студии","","Chișinău","Centru","Str. Alexei Șciusev, Chișinău","+37360710333","","https://www.instagram.com/ingusik_nails/","","","","https://apnt.app/cojocari_inga","новый","","verified_no_site","2026-07-15","high","7","5 000–11 000","Написать как частному мастеру: простой сайт-портфолио, отзывы и запись в один клик.","https://apnt.app/cojocari_inga","https://www.instagram.com/ingusik_nails/","","brand_exact_search: ""Cojocari Inga"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Cojocari Inga"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Cojocari Inga"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/ingusik_nails/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37360710333"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: cojocariinga.md cojocariinga.com cojocariinga.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-nails-iulia-mayburova-021","Iulia Mayburova","","","nails","Маникюрные студии","","Chișinău","Centru","Str. Gheorghe Asachi 51, Chișinău","+37360131130","","https://www.instagram.com/iuliamaximovna/","https://www.facebook.com/estetique.nails.7","","","https://apnt.app/mayburova_yuliya","новый","","verified_no_site","2026-07-15","high","8","5 000–12 000","Предложить сайт специалиста по подологии и ногтям: услуги, стерильность, запись и карта.","https://apnt.app/mayburova_yuliya","https://www.instagram.com/iuliamaximovna/","https://www.facebook.com/estetique.nails.7","brand_exact_search: ""Iulia Mayburova"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Iulia Mayburova"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Iulia Mayburova"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/iuliamaximovna/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37360131130"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: iuliamayburova.md iuliamayburova.com iuliamayburova.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-nails-x-nails-room-022","X-NAILS ROOM","","","nails","Маникюрные студии","","Chișinău","Buiucani","Str. Nicolae Costin 44/3, entrance 1, Chișinău","+37361287108","","https://www.instagram.com/x_nails_room/","https://www.facebook.com/1AfvBR8ue2","","","https://apnt.app/xnails_room","новый","","verified_no_site","2026-07-15","high","9","6 000–14 000","Предложить сайт с портфолио, стерилизацией, гарантией 5 дней и записью.","https://apnt.app/xnails_room","https://www.instagram.com/x_nails_room/","https://www.facebook.com/1AfvBR8ue2","brand_exact_search: ""X-NAILS ROOM"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""X-NAILS ROOM"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""X-NAILS ROOM"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/x_nails_room/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37361287108"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: xnailsroom.md xnailsroom.com xnailsroom.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-beauty-sweetcare-valentinka-023","Sweetcare Valentinka","","","beauty","Салоны красоты","","Chișinău","Botanica","Str. Sarmisegetusa 1, Chișinău","+37368318917","","https://www.instagram.com/vale_sweetcare/","","","","https://apnt.app/vale_sweetcare","новый","","verified_no_site","2026-07-15","high","8","5 000–13 000","Показать сайт косметолога с программами ухода, депиляцией, прайсом и записью.","https://apnt.app/vale_sweetcare","https://www.instagram.com/vale_sweetcare/","","brand_exact_search: ""Sweetcare Valentinka"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Sweetcare Valentinka"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Sweetcare Valentinka"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/vale_sweetcare/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37368318917"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: sweetcarevalentinka.md sweetcarevalentinka.com sweetcarevalentinka.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
